settlement_date,settlement_period,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_wind_capacity,embedded_solar_generation,embedded_solar_capacity,non_bm_stor,pump_storage_pumping,scottish_transfer,ifa_flow,ifa2_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,nsl_flow,eleclink_flow,viking_flow,greenlink_flow
2024-05-22,21,28926,29852,26350,1301,6562,1985,17193,0,8,484,729,991,1003,-418,0,800,1398,997,1423,0
2024-09-02,21,29865,30874,27044,556,6622,1430,16396,0,12,-424,1603,992,1008,-451,-46,972,1397,997,697,0
2024-06-30,13,16550,18743,15220,1149,6562,437,17193,0,613,1577,1245,992,-213,-341,-526,860,1203,902,62,0
2024-03-09,19,27537,28862,25313,3514,6562,2684,17011,0,21,4692,1999,986,1003,-450,-254,868,744,997,775,0
2024-07-27,26,19406,20895,17302,629,6563,7574,17193,0,11,-657,1260,991,0,-451,-527,1019,1399,998,986,0
2024-08-05,34,25573,27060,23461,2503,6563,3256,17193,0,9,2067,1361,992,0,-451,-527,989,1398,710,0,0
2024-04-13,36,23368,26772,22049,4659,6562,2163,17104,0,2,5399,381,619,-1010,-291,47,-386,-1215,896,0,0
2024-09-10,29,24308,27261,23202,4839,6622,4064,16396,0,727,3607,886,-1,-744,-452,-529,337,387,625,1336,0
2024-11-09,20,31199,32791,28357,281,6622,460,17194,0,11,80,2003,170,449,-452,-529,875,1397,0,964,0
2024-08-31,11,17397,19517,15858,948,6622,0,16396,0,14,814,973,992,-486,0,-418,998,1397,997,-702,0
2024-11-16,34,34119,35550,31663,2137,6622,0,17194,0,4,3157,1553,162,1001,-451,-376,963,1397,0,1420,0
2024-09-24,33,28802,30447,26286,1728,6622,2240,17194,0,11,1218,1001,-1,416,-452,-530,0,1397,998,-151,0
2024-05-23,48,22368,24275,20304,1036,6562,0,17193,0,7,203,1003,992,-704,-69,-369,96,1399,997,-258,0
2024-10-31,39,33396,34985,31095,1676,6622,0,17194,0,7,2121,1219,-1,396,-452,-529,398,1397,0,1422,0
2024-01-09,26,37248,41275,33769,2635,6488,5013,16740,0,7,495,-1589,-4,1003,-428,-65,99,-415,-381,-538,0
2024-05-10,4,20720,23295,18873,303,6562,0,17193,0,299,-782,1005,991,-1019,-250,-507,811,1399,995,625,0
2024-07-25,25,27118,28543,24789,1644,6563,3794,17193,0,7,102,1258,991,0,-445,-473,1019,1398,998,1008,0
2024-10-21,13,21385,24934,20533,3687,6622,0,17194,0,375,3224,177,-1,-1002,-369,-279,-1023,0,0,1083,0
