settlement_date,settlement_period,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_wind_capacity,embedded_solar_generation,embedded_solar_capacity,non_bm_stor,pump_storage_pumping,scottish_transfer,ifa_flow,ifa2_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,nsl_flow,eleclink_flow,viking_flow,greenlink_flow
2024-05-03,16,28133,30292,25950,1493,6562,689,17193,0,15,1576,1005,991,-665,-451,-528,511,1396,995,1416,0
2024-01-02,41,32805,34401,30315,2395,6488,0,16727,0,11,1337,2000,-4,735,-450,-531,1014,1113,997,0,0
2024-05-17,17,26237,27303,23952,563,6562,3110,17193,0,4,553,1001,990,284,-431,-131,338,1399,996,1380,0
2024-02-16,31,30944,32542,27944,1246,6562,1487,16887,0,13,-437,2001,-3,912,-451,-531,907,1398,997,1362,0
2024-01-08,46,29710,33819,27083,1847,6488,0,16737,0,11,847,-2035,-4,475,-450,-90,-540,-5,-370,-4,0
2024-10-27,41,30788,31692,28549,2344,6622,0,17194,0,12,3115,1953,-1,-132,-150,-8,773,1397,-1,76,0
2024-06-07,8,18452,21769,17120,1381,6562,0,17193,0,62,2676,2006,991,-1015,-120,-528,52,1398,995,-1092,0
2024-09-05,24,28902,30366,26718,2940,6622,1484,16396,0,10,2387,1654,992,1048,-452,-502,1019,1397,997,990,0
2024-02-02,12,22612,26300,21437,4157,6562,0,16851,0,935,5418,-1133,-4,341,391,434,-353,708,-663,1075,0
2024-03-25,31,32484,33858,29504,2064,6562,2061,17084,0,3,802,1999,992,678,-331,-440,999,915,997,170,0
2024-01-16,14,34464,38687,31562,886,6488,0,16758,0,11,2233,-1209,-4,0,68,0,-944,-330,-301,-824,0
2024-01-01,4,21510,24505,19424,2901,6488,0,16726,0,1564,262,839,-4,661,-270,-84,803,-473,997,401,0
2024-09-04,38,30027,33007,27376,671,6622,512,16396,0,7,1664,2009,992,-785,-2,2,-829,1397,519,-857,0
2024-05-01,37,30662,32045,27893,855,6562,1319,17193,0,6,280,1004,991,299,-349,-528,999,1398,995,1418,0
2024-11-15,43,30439,32358,28984,2810,6622,0,17194,0,10,4209,-340,-27,922,-351,-220,-371,1397,0,1423,0
2024-07-12,18,26356,27745,23886,972,6562,2688,17193,0,13,-950,1253,991,0,-350,-526,999,1397,996,486,0
2024-01-12,39,40126,41722,36820,964,6488,0,16752,0,9,3354,1444,-4,837,-452,-531,176,398,540,373,0
2024-07-05,26,23066,24551,21359,2039,6562,7076,17193,0,7,2053,1001,-1,0,-450,-527,1019,1398,996,991,0
2024-05-21,38,30080,31485,27354,510,6562,903,17193,0,10,773,1003,991,134,-368,-527,602,1397,998,1421,0
2024-07-12,44,26090,27753,23899,631,6562,0,17193,0,6,-742,-179,275,0,-451,-527,999,1399,830,994,0
2024-04-11,15,26150,27765,24614,2588,6562,349,17104,0,5,3724,128,435,-9,-451,-531,-119,890,988,0,0
2024-01-16,32,40492,42753,37254,1767,6488,307,16758,0,4,1672,78,-4,151,-197,-215,-269,-436,-349,-187,0
2024-03-27,35,33478,35793,30283,2381,6562,1138,17092,0,5,3287,2000,992,-182,-449,-272,155,1398,996,-807,0
2024-01-29,29,36002,37596,32523,1331,6488,889,16788,0,9,33,2000,-4,287,-451,-530,999,1398,998,578,0
2024-02-22,17,33277,34907,30517,2002,6562,245,16923,0,49,3358,1999,992,316,-450,-531,637,1397,996,882,0
2024-09-20,9,18516,20291,16963,1089,6622,0,17196,0,403,-100,998,-1,731,-402,-469,999,1398,996,31,0
2024-04-11,22,28212,29702,26443,2556,6562,4476,17104,0,8,4356,1004,991,587,-451,-531,763,1397,998,0,0
2024-11-04,23,35176,36772,31953,491,6622,1116,17194,0,13,-653,1777,-1,938,-452,-530,686,1397,0,371,0
2024-08-23,12,17322,20575,15679,3521,6622,0,17193,0,77,203,252,-2,-900,-309,-527,-296,42,898,-642,0
2024-08-07,2,19447,21238,18153,1582,6563,0,17193,0,594,1960,2000,990,0,-201,-496,264,1399,997,0,0
2024-03-11,10,22029,24360,20076,1225,6562,0,17015,0,806,2100,1366,972,658,-420,-505,329,1399,981,995,0
2024-04-24,19,30446,31935,27650,1486,6562,4158,17143,0,7,-387,1002,975,1004,-451,-531,1008,1398,982,497,0
2024-10-25,27,31161,31735,28276,1287,6622,2920,17194,0,10,-147,2004,-1,1002,-58,0,1019,-5,0,989,0
2024-08-04,16,18139,19032,16683,716,6563,1436,17193,0,17,684,1367,991,0,-220,-156,999,1398,997,986,0
2024-03-11,3,24083,26196,22185,1378,6562,0,17015,0,562,2759,1880,988,1003,-420,-531,996,1399,993,801,0
2024-01-19,44,32765,34954,30785,3076,6488,0,16768,0,11,4713,-685,-3,976,399,305,-640,1391,-250,965,0
2024-02-15,24,31255,32853,28013,1928,6562,3258,16884,0,12,55,1448,-4,605,-451,-531,999,784,997,363,0
2024-02-14,43,31653,32760,28794,1472,6562,0,16880,0,7,459,2001,-4,954,-226,-270,934,1356,997,706,0
2024-02-20,6,21749,23043,20556,2434,6562,0,16917,0,690,5616,1421,-4,116,400,216,576,1398,649,483,0
2024-03-27,39,36566,38452,33287,1958,6562,0,17092,0,2,2585,1996,992,414,-449,-473,929,1397,996,-362,0
2024-10-28,45,27559,29150,25221,626,6622,0,17194,0,8,-760,2003,-1,894,-452,-529,969,1398,-1,944,0
2024-06-25,30,23797,25286,21215,621,6562,8665,17193,0,12,-755,1004,991,1002,-451,-526,999,697,996,990,0
2024-10-08,7,20752,21966,18936,873,6622,0,17194,0,11,1324,999,-1,1042,-250,-452,999,1397,0,1114,0
2024-06-10,46,24721,26217,22768,1642,6562,0,17193,0,16,2102,706,-1,539,-451,-528,995,1397,998,1400,0
2024-02-04,24,28250,28871,26033,4000,6562,1710,16852,0,17,5412,1129,-4,1055,12,0,940,457,868,0,0
2024-03-13,14,25416,27858,24178,4054,6562,20,17022,0,15,5330,-74,-102,-428,88,304,-981,25,-242,92,0
2024-11-09,38,35379,36969,32210,357,6622,0,17194,0,8,744,2003,390,851,-452,-530,979,1397,0,248,0
2024-01-31,36,38383,40586,35554,4460,6488,0,16795,0,3,5427,-192,-4,298,-382,-389,-633,1397,28,1395,0
2024-08-28,32,25385,26471,23577,2092,6622,4062,16398,0,17,3021,1979,-2,896,-250,-317,891,1398,875,915,0
2024-01-04,6,22908,25603,21198,1789,6488,0,16731,0,1505,2343,1330,-4,-104,-450,-32,999,1387,997,506,0
2024-07-12,34,26501,27922,24186,867,6562,2964,17193,0,14,-1117,1254,992,0,-379,-528,999,1397,997,985,0
2024-10-14,17,33709,35201,30796,917,6622,168,17196,0,9,983,997,-1,529,-451,-531,875,0,0,1380,0
2024-05-20,48,21767,23041,19825,715,6562,0,17193,0,13,-381,1002,991,0,-385,-376,991,1399,997,1377,0
2024-04-02,35,32797,34282,29587,1238,6562,1086,17101,0,3,203,1495,992,1004,-451,-531,1003,1399,996,1025,0
2024-03-21,48,21883,26073,20657,3105,6562,0,17081,0,994,5310,1660,924,-981,-321,-530,-764,585,798,732,0
2024-04-03,28,28460,29949,26003,3554,6562,4028,17101,0,6,3580,1495,895,911,-452,-531,999,937,996,122,0
2024-10-29,42,32094,33686,29272,546,6622,0,17194,0,10,431,1936,-1,0,-451,-529,919,1399,-1,10,0
2024-01-19,21,39775,43154,36997,2637,6488,4100,16768,0,13,3743,-928,-3,817,-450,-400,-881,271,-104,949,0
2024-10-28,36,37196,38786,33817,685,6622,0,17194,0,7,-738,2001,-1,1002,-452,-529,999,1397,-1,488,0
2024-11-27,3,26763,28242,24316,807,6622,0,17194,0,5,-525,1002,991,976,-450,-424,999,698,0,1420,0
2024-08-08,3,18805,21750,17697,1738,6563,0,17193,0,570,1705,2008,992,0,-351,-527,-997,705,997,0,0
2024-11-15,41,33221,35258,31461,2797,6622,0,17194,0,15,4101,-373,-32,908,-452,-507,-58,1397,0,1419,0
2024-04-06,34,20910,24504,19372,5443,6562,3691,17104,0,1,3553,887,549,-578,-120,-170,-455,-1240,752,-530,0
2024-07-19,7,19587,22358,18148,794,6563,0,17193,0,653,692,1402,745,0,-302,-308,196,1399,699,-1008,0
2024-05-12,33,19751,21527,17771,1716,6562,6489,17193,0,494,2353,0,-4,1003,-251,-527,596,1399,987,756,0
2024-10-25,9,20363,21323,18513,1044,6622,0,17194,0,10,1198,2004,-1,867,-300,-149,952,0,0,918,0
2024-03-28,18,28849,30500,26635,3612,6562,4560,17096,0,69,4765,1999,991,748,-451,-531,756,1397,996,666,0
2024-04-26,31,27157,28547,24531,575,6562,4678,17143,0,8,-1508,1005,991,1002,-352,-530,998,1398,996,791,0
2024-05-01,43,29863,31356,27314,1011,6562,0,17193,0,14,213,1004,991,94,-451,-528,999,1399,995,1418,0
2024-05-18,3,20234,21620,18483,377,6562,0,17193,0,8,-1020,1004,992,-371,-362,-145,890,1399,995,1412,0
2024-10-16,5,20400,22576,19070,3062,6622,0,17194,0,846,3230,569,-1,123,-300,-529,493,0,0,274,0
2024-02-11,17,26387,27688,23694,659,6562,221,16871,0,96,-579,2000,-4,1054,-375,-226,999,1399,997,1376,0
2024-06-28,13,17693,23355,17013,3901,6562,702,17193,0,513,4154,145,-384,-1015,-300,-467,-1019,360,-368,-1096,0
2024-11-24,45,24318,26296,23273,5508,6622,0,17194,0,886,5055,-133,364,131,-123,-236,445,112,0,989,0
2024-02-14,15,30236,30907,27177,1632,6562,0,16880,0,67,-341,627,-4,252,0,0,584,975,894,158,0
2024-01-23,35,38547,39344,35828,5378,6488,0,16774,0,1,5026,1986,-1,375,-151,-44,941,1399,829,1325,0
2024-01-03,7,21820,24513,20414,2085,6488,0,16729,0,1227,2177,1900,-4,321,-331,-531,906,17,997,325,0
2024-04-16,14,24900,27281,23053,3364,6562,292,17143,0,17,3083,1004,991,-1016,-359,0,641,-489,996,0,0
2024-08-06,36,24964,26482,23166,2491,6563,3876,17193,0,11,2631,1363,992,0,-451,-330,-226,1398,995,0,0
2024-09-21,25,22390,23701,20031,1637,6622,5620,17197,0,8,195,998,-1,1056,-452,-350,1019,1398,996,695,0
2024-06-23,43,25272,28380,23072,580,6562,22,17193,0,10,1163,2003,992,-1016,-452,-527,710,1399,997,-603,0
2024-06-21,25,21450,22438,19330,2205,6562,9593,17193,0,7,3423,1835,981,-122,-329,-30,163,1397,996,0,0
2024-03-05,8,22975,25495,21678,2212,6562,0,17000,0,1452,4891,898,99,-334,400,504,-134,1397,30,1260,0
2024-06-17,9,17906,19474,16448,866,6562,0,17193,0,25,443,2002,-1,3,-302,-372,803,1398,997,-368,0
2024-05-18,41,25268,28000,23101,582,6562,227,17193,0,6,-728,1003,992,-602,-452,-437,999,1399,995,-735,0
2024-11-09,23,32222,33809,29277,254,6622,828,17194,0,6,-55,2003,471,817,-452,-529,710,1397,0,812,0
2024-08-14,39,28116,30653,26170,1338,6622,748,17193,0,2,2953,1362,992,-1014,255,136,-1021,1156,997,0,0
2024-01-22,28,32569,33784,30301,5295,6488,3513,16772,0,7,5083,1999,-1,1003,-446,-161,999,1397,997,1405,0
2024-04-28,3,21413,23375,19439,1133,6562,0,17143,0,480,-947,1004,991,980,-452,-530,999,1399,996,773,0
2024-08-03,41,24215,26802,22160,938,6563,179,17193,0,12,675,1110,992,1,-452,-527,961,1399,991,-1096,0
2024-03-19,37,35770,37352,32626,434,6562,0,17070,0,0,310,906,948,293,-451,-531,540,1399,856,102,0
2024-07-15,35,30037,31529,27330,707,6562,1589,17193,0,13,-160,2002,991,0,-452,-527,741,1399,996,233,0
2024-09-08,39,28405,30553,26067,1578,6622,20,16396,0,10,2384,2005,-1,-837,-67,0,785,1397,997,-733,0
2024-02-02,40,32867,34296,31087,4068,6562,0,16851,0,5,5116,1942,-4,841,-450,-370,989,1397,944,1403,0
2024-02-01,9,22550,25346,20993,2449,6562,0,16848,0,1400,4923,709,-4,3,-261,-531,453,1397,773,947,0
2024-01-03,28,35090,36081,32385,1692,6488,1575,16729,0,6,1864,2000,-4,998,-381,0,999,1399,997,780,0
2024-05-10,7,19624,22670,17757,312,6562,0,17193,0,632,-873,1005,991,-1015,-250,-527,950,1399,995,-122,0
2024-01-07,4,24945,27338,22749,791,6488,0,16734,0,831,-595,1498,-4,1003,-450,-508,950,1396,996,716,0
2024-09-30,22,31871,33361,29073,2310,6622,1412,17194,0,6,945,998,-1,1025,-452,-531,1019,1397,0,1423,0
2024-08-26,16,19282,22657,17113,1454,6622,1526,17193,0,17,902,294,182,-1019,-296,-527,-1016,1399,45,1423,0
2024-04-23,45,28249,31888,25892,1184,6562,0,17143,0,13,741,852,725,-829,-289,-528,-689,1399,819,-791,0
2024-01-09,4,25954,31156,23623,1904,6488,0,16740,0,611,811,-1645,-4,-504,-315,-34,-302,-6,-627,-554,0
2024-10-27,22,23375,23991,21526,1139,6622,6040,17194,0,14,2784,2003,-1,1002,251,16,1019,1397,-1,988,0
2024-01-27,41,32157,33580,30126,3079,6488,0,16784,0,14,5645,1059,-4,-554,166,0,-251,1397,426,1394,0
2024-10-27,10,18307,21222,17035,1318,6622,0,17194,0,837,1727,1749,-1,-421,-348,-416,947,1397,0,-292,0
2024-07-18,35,25564,27052,23353,1219,6562,4750,17193,0,11,1607,1255,600,0,-450,-527,166,1398,669,46,0
2024-08-22,13,17632,24445,17015,4976,6622,4,17193,0,72,3962,-1629,-1,-1020,-334,-503,-876,-730,-395,-753,0
2024-03-16,24,26230,26834,23847,1185,6562,5347,17065,0,4,2150,2000,992,675,400,4,792,1398,997,1401,0
2024-03-11,7,22542,24920,20546,1260,6562,0,17015,0,827,2322,1556,961,802,-420,-531,751,1399,993,908,0
2024-07-12,24,25337,26455,22899,984,6562,5758,17193,0,14,-859,1253,991,0,-74,-530,1019,1397,996,751,0
2024-10-30,47,24001,25063,22397,1286,6622,0,17194,0,9,2366,2004,-1,779,-384,-68,892,1398,0,1347,0
2024-01-10,45,31927,35748,29422,1547,6488,0,16746,0,12,2717,-1445,-4,784,-450,-40,-655,-5,-381,-229,0
2024-11-25,27,30721,32203,28630,4980,6622,4091,17194,0,8,3092,567,619,969,-451,-423,949,698,0,1423,0
2024-11-19,39,40872,42457,37482,2790,6622,0,17194,0,2,2043,1833,924,614,-452,-531,677,1359,0,405,0
2024-09-08,27,24246,24869,21889,858,6622,4490,16396,0,14,773,1462,-1,1051,-108,0,1019,1397,997,986,0
2024-06-27,20,23555,24110,22078,3299,6562,5852,17193,0,7,3885,993,779,109,-48,0,790,697,691,988,0
2024-04-15,44,27561,29121,25759,4505,6562,0,17143,0,11,4141,1003,991,-356,-366,0,999,1023,996,-327,0
2024-02-17,11,21029,22956,19189,947,6562,0,16887,0,765,2174,1866,-4,-270,-288,0,699,1397,899,1339,0
2024-04-19,42,30287,31330,27581,1518,6562,0,17143,0,9,1766,1003,991,1003,-450,-84,999,1398,997,1419,0
2024-10-11,3,22341,23680,20726,1266,6622,0,17194,0,16,3156,999,-1,1028,-328,-494,999,1397,0,1421,0
2024-07-21,29,18849,20096,17184,1368,6563,7129,17193,0,21,1336,2002,991,1,-451,-275,1000,1397,996,989,0
2024-07-21,41,25202,27153,22948,702,6563,396,17193,0,4,712,2002,992,0,-452,-142,948,1398,996,-853,0
2024-11-20,46,31536,32773,29020,1711,6622,0,17194,0,12,1890,1963,991,694,-249,-376,841,1397,0,989,0
2024-08-10,31,18117,20409,17323,2708,6563,5588,17193,0,864,3262,165,285,0,-401,-527,533,1107,784,0,0
2024-06-04,19,25748,26894,24086,2989,6562,2945,17193,0,14,2442,1504,991,725,-451,-181,670,1397,997,267,0
2024-08-21,36,26867,28362,25268,4165,6622,1647,17193,0,6,3261,485,249,0,-400,-113,0,1397,-476,1196,0
2024-01-06,15,25876,26937,23677,884,6488,0,16734,0,7,1438,1501,-4,373,-450,0,809,663,935,124,0
2024-05-03,46,24725,27092,22473,1166,6562,0,17193,0,7,-940,1005,991,-283,-452,-530,769,1399,995,-595,0
2024-06-23,8,17343,19865,16107,834,6562,0,17193,0,907,1533,2006,992,-337,-251,-527,152,1399,996,420,0
2024-08-28,16,24157,25659,22165,1235,6622,1073,16398,0,4,2198,1660,626,168,-234,-365,245,1398,376,-399,0
2024-11-27,38,41967,43555,38032,1181,6622,0,17194,0,6,59,923,992,1002,-451,-531,999,698,0,1422,0
2024-07-01,15,23221,24991,21375,1137,6562,1715,17193,0,7,1918,2003,991,0,-352,-188,424,1397,996,-723,0
2024-09-13,9,20065,22447,18312,734,6622,0,16396,0,700,1009,999,-1,0,-452,-469,996,1397,995,-260,0
2024-04-02,46,26008,27500,23653,1647,6562,0,17101,0,11,1205,1495,991,532,-451,-530,917,1398,996,468,0
2024-05-20,40,27586,30556,25231,858,6562,821,17193,0,5,1090,1002,991,-867,-451,-388,435,1399,997,-759,0
2024-07-03,7,19088,20213,17642,1198,6562,0,17193,0,78,1532,1005,-1,1,-261,-285,372,1398,998,316,0
2024-03-12,11,23060,24613,20968,1519,6562,0,17019,0,56,1412,1285,584,-208,184,95,-27,925,620,-662,0
2024-04-04,5,23058,24902,21132,1473,6562,0,17101,0,124,2002,1495,992,178,-401,-531,953,1276,996,-288,0
2024-04-03,41,32842,34257,29963,2419,6562,0,17101,0,4,2517,1495,992,1003,-380,-531,1019,1397,995,740,0
2024-01-07,17,27411,28764,24795,780,6488,1,16734,0,10,26,1497,-4,721,-441,-298,950,402,992,388,0
2024-03-14,42,31498,32799,28577,2684,6562,0,17026,0,11,1728,2000,945,1004,-159,-531,882,1397,895,1412,0
2024-10-18,15,27891,30538,26225,1855,6622,0,17194,0,10,4728,905,-1,-1039,400,504,350,0,0,-1097,0
2024-02-14,29,34458,35906,30906,1736,6562,1300,16880,0,8,-1565,1974,-3,572,-372,-368,485,1004,997,-97,0
2024-01-10,19,39398,41139,35891,1595,6488,1226,16746,0,5,1388,-581,-4,868,-68,-64,534,385,-80,-339,0
2024-02-19,9,19298,22940,18186,2587,6562,0,16890,0,472,5546,-1458,-4,-782,42,0,184,781,722,-326,0
2024-03-02,10,23238,25364,21409,1115,6562,0,16994,0,1471,1300,1798,-1,1051,-50,-4,999,1399,997,1062,0
2024-07-14,27,22166,23655,20004,826,6562,5997,17193,0,11,-213,2003,992,1,-451,-527,1019,1398,997,989,0
2024-02-03,3,21672,25509,20865,3836,6562,0,16852,0,1324,4735,-496,-4,737,-450,-420,-423,1001,-120,796,0
2024-05-20,16,25533,26938,23174,686,6562,2174,17193,0,15,-1243,1002,991,1002,-451,-439,999,1399,996,795,0
2024-06-02,44,24261,25744,22537,1396,6562,0,17193,0,4,2212,1506,991,194,-452,-527,318,1398,997,1379,0
2024-04-08,1,19377,24944,18395,3134,6562,0,17104,0,329,4622,1414,992,-1015,-250,-531,-1016,-1423,998,-503,0
2024-10-13,32,29885,30753,27060,357,6622,1572,17194,0,13,18,999,-1,1031,-354,0,999,1397,0,987,0
2024-03-12,27,35191,36919,31943,2270,6562,2210,17019,0,21,-109,1999,992,181,-376,-62,999,336,994,-669,0
2024-02-28,43,30889,31497,29077,3732,6562,0,16937,0,8,5700,858,219,179,63,23,33,1397,301,257,0
2024-10-24,8,19497,23007,18644,3202,6622,0,17194,0,834,4146,1002,-1,-1013,400,504,-69,0,0,-1093,0
2024-05-22,34,28404,28912,25891,2680,6562,2402,17193,0,8,3028,808,992,575,163,70,951,1397,997,760,0
2024-01-16,17,40617,43277,37012,977,6488,23,16758,0,11,2293,-992,-4,416,0,0,-411,357,-226,-416,0
2024-06-16,36,22472,23964,20146,1755,6562,4176,17193,0,13,221,2006,991,1003,-452,-527,67,1399,701,768,0
2024-02-25,44,28209,29312,25577,2463,6562,0,16928,0,209,563,1651,576,475,-244,-50,802,1392,564,167,0
2024-06-10,39,27498,29452,25394,2327,6562,1655,17193,0,6,2591,2001,-1,-498,-428,-521,899,1397,996,78,0
2024-08-30,45,24719,25756,22433,690,6622,0,16396,0,11,1148,1113,114,119,0,-526,528,1399,457,401,0
2024-11-12,5,23652,26006,21414,1187,6622,0,17194,0,820,-1120,2002,489,925,-452,-482,869,1397,0,165,0
2024-07-11,12,19386,21681,17885,1115,6562,118,17193,0,13,1228,1996,987,0,-158,-115,-417,1398,966,-1092,0
2024-07-22,38,27953,29438,25369,1205,6563,1917,17193,0,9,179,1370,992,0,-449,-527,589,1399,997,842,0
2024-03-04,2,25758,27642,23574,507,6562,0,16998,0,301,694,2000,992,912,-452,-531,803,1399,972,795,0
2024-06-24,7,18904,21080,17304,551,6562,0,17193,0,353,1111,2003,991,-880,-203,-174,944,1399,995,-66,0
2024-06-01,25,19564,21335,17658,1501,6562,6525,17193,0,5,-1130,1489,991,199,-452,-528,-286,1398,995,750,0
2024-07-02,7,18407,22174,17015,1470,6562,0,17193,0,893,1597,1957,992,0,-300,-527,-535,1397,997,-1012,0
2024-01-27,14,23973,25948,22862,2817,6488,0,16784,0,16,4666,-132,-3,-950,392,224,-213,1397,-61,1085,0
2024-02-11,16,24834,26551,22212,633,6562,20,16871,0,606,-718,2000,-4,1054,-380,-127,999,1399,997,1092,0
2024-08-25,12,15211,20077,14472,2219,6622,0,17193,0,835,3969,-989,-352,-959,-158,-195,-460,-418,100,50,0
2024-07-14,47,22009,23482,20122,421,6562,0,17193,0,8,75,1894,987,0,-438,-527,785,1398,996,1071,0
2024-02-21,48,23258,25918,21790,2815,6562,0,16923,0,1854,5019,801,990,519,-203,-3,405,926,838,419,0
2024-04-15,33,24183,26768,22426,5205,6562,6140,17143,0,253,5182,966,978,-970,-62,0,496,21,996,-800,0
2024-05-25,37,23931,26205,21802,1053,6562,2768,17193,0,8,1481,2005,992,-565,-150,0,600,1398,996,-1051,0
2024-12-05,24,35937,36706,33196,2753,6622,1416,17194,0,12,2805,2002,992,1003,-157,80,1019,1397,0,1420,0
2024-06-24,3,19840,21611,18129,548,6562,0,17193,0,301,941,2003,991,-617,-219,-134,823,1399,995,258,0
2024-09-07,35,27266,29127,24914,630,6622,799,16396,0,6,408,2005,-1,-376,-452,-526,992,1399,997,177,0
2024-07-14,14,17110,19319,15612,890,6562,950,17193,0,872,185,1572,987,0,-310,-527,59,1398,997,506,0
2024-03-13,37,35157,37652,32436,3181,6562,0,17022,0,4,3332,894,395,672,-450,-531,-910,1397,173,1403,0
2024-10-25,20,32543,33135,29586,1154,6622,865,17194,0,12,466,2004,-1,1002,-79,0,1019,0,0,989,0
2024-06-10,15,23697,26157,21613,2395,6562,1569,17193,0,8,1691,1978,981,-1015,-429,-508,123,1397,996,1278,0
2024-03-12,14,28573,30611,26114,1764,6562,11,17019,0,11,1647,881,335,0,290,31,-714,849,389,-713,0
2024-05-06,43,27756,29258,25067,596,6562,0,17193,0,12,-157,1005,991,-8,-250,-444,583,1397,995,-288,0
2024-01-03,6,22044,24703,20646,2093,6488,0,16729,0,1193,2142,1900,-4,364,-331,-531,906,185,997,556,0
2024-11-17,20,27685,28798,25099,1324,6622,2848,17194,0,13,1128,2007,489,1003,-452,-48,613,1398,0,1422,0
2024-11-30,43,27545,28434,26093,4637,6622,0,17194,0,11,5863,292,13,292,400,0,-278,698,0,702,0
2024-07-11,42,27199,30614,24863,861,6562,110,17193,0,13,1070,1022,615,0,-300,-490,-1018,1398,569,-1094,0
2024-05-19,31,16612,18452,14457,882,6562,9248,17193,0,403,-2050,711,990,535,-451,-486,997,1399,995,581,0
2024-08-30,35,24799,26486,22305,684,6622,3988,16396,0,7,512,1846,309,-348,0,-527,-44,1399,473,-261,0
2024-07-21,12,16381,18671,15179,1217,6563,97,17193,0,692,808,1995,992,0,-371,-161,699,1399,994,-566,0
2024-02-24,17,29824,30436,27111,316,6562,1548,16927,0,12,-59,2000,992,644,84,0,983,1399,995,1382,0
2024-01-07,35,41102,42699,37187,733,6488,0,16734,0,10,-173,1999,-4,1003,-452,-531,1014,1398,997,754,0
2024-08-13,14,21603,24088,20187,1532,6563,708,17193,0,16,4119,1361,942,-1014,87,84,-955,1397,994,0,0
2024-08-12,35,25965,28189,23855,1688,6563,4707,17193,0,9,1633,1001,992,-938,-251,-526,252,1397,998,0,0
2024-02-25,38,36612,37219,33312,2261,6562,0,16928,0,7,548,1992,990,777,307,70,880,1399,927,363,0
2024-02-02,35,35366,36666,33245,4232,6562,0,16851,0,5,5042,1995,-4,866,-450,-241,1012,1397,806,1403,0
2024-07-14,18,18439,20667,16618,924,6562,3972,17193,0,794,-384,2002,992,1,-405,-529,999,1397,996,985,0
2024-06-15,1,21362,22550,19438,739,6562,0,17193,0,9,-273,2007,-1,455,-309,-369,413,1399,998,790,0
2024-07-08,21,24906,26394,22366,351,6562,6140,17193,0,7,-537,2003,991,1,-451,-530,1019,1397,997,988,0
2024-02-27,35,37785,40636,35221,2054,6562,67,16933,0,8,4862,1003,71,140,-451,-526,-741,665,108,-525,0
2024-03-08,33,30758,31382,28398,3994,6562,1806,17011,0,5,4687,1999,991,852,-19,0,742,814,655,472,0
2024-06-25,4,20891,23544,19292,564,6562,0,17193,0,120,1076,2006,991,-640,-389,-527,387,1399,995,-477,0
2024-01-01,20,23753,26052,21758,2133,6488,1533,16726,0,26,1280,2000,-4,424,-450,-529,999,-690,526,498,0
2024-11-12,20,34413,38072,30967,1058,6622,3167,17194,0,11,-691,2003,489,-972,-452,-531,382,1397,0,-1093,0
2024-04-26,20,30029,31502,27075,562,6562,5699,17143,0,8,-1166,1005,991,1003,-451,-514,1019,1397,996,788,0
2024-06-23,24,20302,21786,18333,468,6562,6887,17193,0,7,-452,1946,991,1003,-451,-526,1019,1399,909,795,0
2024-05-14,15,25736,26779,23657,1496,6562,677,17193,0,56,984,-33,-4,967,-450,0,397,1397,754,1388,0
2024-02-05,34,35621,36226,32923,4402,6562,2,16855,0,1,5225,1718,-4,606,155,55,1019,1397,998,0,0
2024-07-15,18,26331,27821,23771,383,6562,3623,17193,0,9,-513,2003,991,0,-452,-529,999,1397,997,1420,0
2024-05-28,12,18208,20795,16638,1092,6562,240,17193,0,7,242,1505,992,-986,78,0,426,1399,996,-1094,0
2024-07-14,3,18961,21188,17363,851,6562,0,17193,0,873,633,1580,991,0,-327,-527,532,1397,895,417,0
2024-03-15,8,20038,22775,18165,2670,6562,0,17064,0,1195,478,1897,992,726,-410,-531,741,108,997,-1,0
2024-10-06,45,25236,26106,22981,1261,6622,0,17194,0,13,1616,999,-1,1026,-356,0,999,1398,0,1422,0
2024-01-23,1,23490,26502,21981,4240,6488,0,16774,0,1530,4515,753,-1,825,-350,-531,702,516,985,676,0
2024-09-04,25,25891,26723,23317,564,6622,5670,16396,0,9,637,596,417,146,-323,0,209,1397,320,154,0
2024-01-07,3,25654,27689,23385,783,6488,0,16734,0,562,-606,1498,-4,1003,-450,-419,952,1399,996,704,0
2024-10-20,43,24576,25844,23315,5068,6622,0,17194,0,767,3794,179,-1,331,55,22,692,0,0,711,0
2024-10-06,41,30162,31168,27580,1306,6622,0,17194,0,13,1392,999,-1,1025,-450,-42,999,1397,0,1425,0
2024-06-28,45,23884,26038,22261,1384,6562,0,17193,0,6,2157,1343,988,-671,-450,-527,719,1398,963,595,0
2024-07-24,25,24913,25989,22735,1114,6563,6366,17193,0,11,586,1369,991,0,-322,-243,1018,1397,997,992,0
2024-08-08,6,17806,21047,16792,1685,6563,0,17193,0,913,1490,2008,992,0,-351,-527,-950,237,997,0,0
2024-11-29,12,25139,29203,23255,3428,6622,0,17194,0,350,4710,900,274,-1015,200,504,-1002,698,0,-1097,0
2024-09-14,23,18187,20205,16612,2723,6622,8338,16398,0,856,2912,-238,-1,221,-359,-64,614,1398,995,434,0
2024-03-03,39,37439,39027,34235,483,6562,0,16995,0,5,1000,2000,992,1052,-452,-531,1019,1399,997,1122,0
2024-10-10,21,30173,31656,27374,1661,6622,3323,17194,0,2,780,999,-1,1056,-452,-528,930,1397,0,988,0
